stock_code,weight
002281,0.06451612903225806
600498,0.06236559139784946
002624,0.060215053763440864
601991,0.05806451612903226
300136,0.05591397849462366
002436,0.053763440860215055
300570,0.05161290322580645
600487,0.04946236559139785
603920,0.047311827956989246
002273,0.04516129032258064
002335,0.043010752688172046
002156,0.04086021505376344
300679,0.03870967741935484
600884,0.03655913978494624
688172,0.034408602150537634
688361,0.03225806451612903
603228,0.030107526881720432
601231,0.02795698924731183
300763,0.025806451612903226
002261,0.023655913978494623
003035,0.021505376344086023
300454,0.01935483870967742
300857,0.017204301075268817
600392,0.015053763440860216
300223,0.012903225806451613
605589,0.010752688172043012
001389,0.008602150537634409
002738,0.0064516129032258064
300395,0.004301075268817204
300567,0.002150537634408602
